Label,Susan,Jeroen
Auschwitz,,
Gaskamers,gaskamers,Gaskamers
Gas chambers,,
Gaskammer,,
Chełmno,,
Massamoorden,massamoorden,Massamoorden
Mass murder,,
Massenmord,,
Treblinka,,
Dodenmarsen,dodenmarsen,Dodenmarsen
Death marches,,
Todesmärsche,,
Massagraven,,Massagraven
Massengrabe,,
Mass graves,,
Bełżec,,
Crematoria,,
Verbrennungsofen,,
Verbrandingsovens,,
Schlachtfelder,,
Theaters,,
Slagvelden,slagvelden,Slagvelden
Western Front,,
Westfront,,
Battlelines,,
Gevechtslinies,gevechtslinies,Gevechtslinies
Schlachtlinien,,
Ostfront,,
Eastern Front,,
Oostfront,,
Frontlinien,,
Frontlines,,
Frontlinies,frontlinies,Frontlinies
Akkommodation,,
Accomodatie,,
Accommodation,,
Politiek,,
Politics,,
Politik,,
Schulden,,
Schuld,,
Depts,,
War dept,,
Kriegsschulden,,
Oorlogsschulden,,
Pangermanisme,,
Pan-Germanism,,
Pangermanismus,,
Ideologies,,
Ideologieën,,
Ideologien,,
Schools,,
Scholen,,
Schulen,,
Bildung,,
Education,,
Onderwijs,,
Nationalpolitische Erziehungsanstalten,,
Landstorm,,
Militia,,
Collaboration,,
Collaboratie,,
Madagaskar Plan,,
Madagaskarplan,,
Emigratie,,
Auswanderung,,
Emigration,,
War criminals,,
Kriegsverbrecher,,
Oorlogsmisdadigers,,
Processen,,
Prozesse,,
Trials,,
Punishments,,
Bestrafungen,,
Straffen,,
Resozialisierung,,
Rehabilitation,,
Reclassering,,
Transitional Justice,,
Transitional justice,,
Putzen,,
Zuivering,,Zuivering
Purge,,
Statute of limitations,,
Verjährung,,
Verjaring,,
Burgerrechten,,
Civil rights,,
Bürgerrechte,,
Ereraden,,
Ereraden',,
Expropriation,,
Enteignung,,
Onteigening,,
Law of war,,
Kriegsvölkerrecht,,
Oorlogsrecht,,
Erbschaften,,
Inheritance,,
Nalatenschappen,,
Rechtslage,,
Legal position,,
Rechtspositie,,
Justiz,,
Judiciary,,
Rechterlijke macht,,
Uitleveringen,,
Extraditions,,
Ablieferung,,
Release,,
Vrijlating,,
Freisetzung,,
Militaire rechtspraak,,
Court-martial,,
Militärgericht,,
Volkenrecht,,
International law,,
Völkerrecht,,
Kriminologie,,
Criminology,,
Criminologie,,
Gnadenbefugnis,,
Gratie,,
Pardon,,
War crimes,,
Kriegsverbrechen,,
Oorlogsmisdaden,,Oorlogsmisdaden
Daders,,Daders
Perpetrators,,
Täter,,
Right of asylum,,
Asylrecht,,
Asielrecht,,
Hochverrat,,
High treason,,
Hoogverraad,,
Opsporing,,
Investigation,,
Fahndung,,
Constitutional law,,
Staatsrecht,,
Justiz,,
Rechtspraak,,
Case law,,
Adatrecht',,
Adatrecht,,
Custom,,
Wetgeving,,
Legislation,,
Gesetzgebung,,
Strafrecht,,
Criminal law,,
Expulsion,,
Uitzetting,,
Ausweisen,,
Legal code,,
Wetboeken,,
Gesetzbuchen,,
Advocatuur,,
Lawyer,,
Rechtsanwalt,,
Vrederechtspraak,,
Vrederechtspraak',,
Aburteilung,,
Trial,,
Berechting,,
Amnesty,,
Amnestie,,
Notariat,,
Notary,,
Notariaat,,
Vreemdelingen,,
Foreigners,,
Ausländer,,
Verfassung,,
Grondwet,,
Constitution,,
Rechtsherstel,,
Reparations,,
Rehabilitierung,,
Mensenrechten,,
Human rights,,
Menschenrechte,,
Rechtswetenschap,,
Rechtswissenschaft,,
Study of law,,
Nuclear weapons,,
Kernwaffe,,
Atoomwapens,atoomwapens,Atoomwapens
Bombs,,
Bomben,,
Bommen,bommen,Bommen
Antitankwapens,,Antitankwapens
Panzerabwehr,,
Anti-tank weapons,,
Tanks,tanks,Tanks
Pantservoertuigen,pantservoertuigen,Pantservoertuigen
Armoured vehicle,,
Gepanzerte Fahrzeuge,,
Geschütz,,
Artillery,,
Geschut,geschut,Geschut
Munitie,munitie,Munitie
Munition,,
Explosieven,explosieven,Explosieven
Explosives,,
Bombe,,
Vergeltungswaffen,,
V-wapens,V-wapens,V-wapens
V-weapons,,
Bommenwerpers,,Bommenwerpers
Bomber,,
Machinegeweren,machinegeweren,Machinegeweren
Machine gun,,
Maschinengewehre,,
Raketten,raketten,Raketten
Missiles,,
Raketen,,
Vlammenwerpers,vlammenwerpers,Vlammenwerpers
Flammenwerfer,,
Flamethrower,,
Bloembollen,,
Flower bulbs,,
Blumenzwiebeln,,
Hongerwinter,,
Dutch famine,,
Hungerwinter,,
"Ministerium für Handel, Industrie und Schifffahrt",,
"Departement van Handel, Nijverheid en Scheepvaart",,
"Ministry of Commerce, Industry and Shipping",,
Justizministerium,,
Department of Justice,,
Departement van Justitie,,
Federal Foreign Office,,
Auswärtiges Amt,,
Ministerie van Buitenlandse Zaken,,
Ministry of Foreign Affairs,,
Außenministerium,,
Ministerium für soziale Angelegenheiten,,
Departement van Sociale Zaken,,
Ministry of Social Affairs,,
Ministerium für öffentliche Arbeiten,,
Ministry of Public Works,,
Departement van Waterstaat,,
Verteidigungsministerium,,
Departement van Defensie,,
Ministry of Defense,,
"Departement van Opvoeding, Wetenschap en Kultuurbescherming",,
"Ministry of Education, Science and Culture Protection",,
"Ministerium für Bildung, Wissenschaft und Kulturschutz",,
Department of General Affairs,,
Departement van Algemene Zaken,,
Ministerium für Allgemeine Angelegenheiten,,
Ministerium für Innere Angelegenheiten,,
Ministry for Internal Affairs,,
Departement van Binnenlandse Zaken,,
Ministry for Special Economic Affairs,,
Departement van Bijzondere Economische Zaken,,
Ministerium für besondere Wirtschaftliche Angelegenheiten,,
Foreign Politics,,
Buitenlandse politiek,,
Außenpolitik,,
Finanzministerium,,
Ministry of Finance,,
Departement van Financiën,,
Ministry of Public Information and the Arts,,
Ministerium für Volksaufklärung und Kunst,,
Departement van Volksvoorlichting en Kunsten,,
Menadonezen,,
National Front,,
Nationaal Front,,
Nationale Front,,
Black Front,,
Zwart Front,,
Schwarze Front,,
Faschismus,,
Fascism,,
Fascisme,,
Arbeitsvermittlung,,
Labour conciliation,,
Arbeidsbemiddeling,,
Adviesbureau voor Arbeid in het Buitenland,,
Adviesbureau voor Arbeid in het Buitenland',,
Arbeit,,
Labour,,
Arbeid,,
Winterhulp,,
Winteraid,,
Winterhilfe,,
Winterhilfswerk,,
Hulpverlening,,
Hilfe,,
Aid,,
Nederlandsche Volksdienst,,
Nederlandsche Volksdienst',,
Coding,,
Codierung,,
Codering,,
Decodering,,
Decodierung,,
Decoding,,
Caricature,,
Karikatur,,
Spotprenten,,
Karikaturen,,
Caricatures,,
Marinegericht,,
Wehrmachtbefehlshaber in den Niederlanden,,
Kunsthandel,,
Art trade,,
Trade,,
Handel,,
Mechelen,,
Mecheln,,
Doorgangskampen,doorgangskampen,Doorgangskampen
Transit camps,,
Durchgangslager,,
"Transport XXV van Kazerne Dossin (Malines-Mechelen, België) naar Auschwitz-Birkenau, 19 mei 1944- 21 mei 1944",,
"Transport XXIV van Kazerne Dossin (Malines-Mechelen, België) naar Auschwitz-Birkenau, 4 april 1944- 7 april 1944",,
Spielzeug,,
Toys,,
Speelgoed,,
Kinder,,
Kinderen,,
Children,,
Polish forces,,
Poolse strijdkrachten,,
Polnische Armee,,
Bibliotheken,,
Libraries,,
Bibliothek,,
Bibliotheca Rosenthaliana,,
Bibliotheca Rosenthaliana',,
Diplomatie,,
Diplomacy,,
Ambassades,,
Botschaft,,
Embassies,,
Konsulate,,
Consulates,,
Consulaten,,
Nederlands Informatiebureau,,
Nederlands Informatiebureau',,
International relations,,
Internationale Beziehungen,,
Internationale betrekkingen,,
Oorlogsindustrie,,
War industry,,
Kriegsindustrie,,
Zondagmiddagcabaret van (Sunday afternoon cabaret by) Paulus de Ruiter,,
Zondagmiddagcabaret van Paulus de Ruiter,,
Zondagmiddagcabaret van (Sonntagnachmittags Kabarett von) Paulus de Ruiter,,
Kabarett,,
Comedy,,
Cabaret,,
Nederlandsche Omroep,,
Colportage,,
Kolportage,,
Lebensunterhalt,,
Levensonderhoud,,
Livelihood,,
Rijwielvordering,,
Fahrradfederung,,
Confiscation of bikes,,
Vorderingen,,
Claiming,,
Forderungen,,
Beschlagnahme,,
Confiscations,,
Inbeslagneming,,Inbeslagneming
Kamp Marknesse,,
Camp 'Marknesse',,
Kamp Marknesse',,
Arbeitslager,,
Labor camps (forced labor),,
Werkkampen (Tewerkstelling),"werkkampen, tewerkstelling",Werkkampen (Tewerkstelling)
Nachkriegszeit Internierungslager,,
Post-war internment camps,,
Bewarings- en verblijfskampen,bewarings- en verblijfskampen,
Roomsch-Katholieke Staatspartij,,
Roman-Catholic State Party,,
Roomsch-Katholieke Staatspartij',,
Klokkenvordering',,
Confiscation of bells,,
Klokkenvordering,,
Heraldik,,
Heraldry,,
Heraldiek,,
Hungry,,
Hunger,,
Honger,,
Armoede,,
Poverty,,
Armut,,
Holodomor,,
Lebensmittelversorgung,,
Food supply,,
Voedselvoorziening,,
Bildhauerkunst,,
Sculpture,,
Beeldhouwkunst,,
Beeldende kunst,,
Visual arts,,
Bildende Kunst,,
Branden,branden,Branden
Fires,,
Feuer,,
Ghetto Riga,,
Ghetto of Riga,,
Getto van Riga,,
Getto's,,Getto's
Ghetto,ghetto,Ghetto
Conventions,,
Congressen,,
Kongreß,,
Conferenties,,
Conferences,,
Konferenzen,,
Bijeenkomsten,,
Meetings,,
Zusammenkünfte,,
Bevölkerungspolitik,,
Bevolkingspolitiek,,
Population policy,,
Rassenpolitiek,,
Racial politics,,
Rassenpolitik,,
Sociale politiek,,
Social policy,,
Sozialpolitik,,
Demographics,,
Demografie,,
Zentralstelle für Jüdische Auswanderung,,
Beurlaubter,,
Leave-men,,
Verlofgangers,,
Politie,,
Police,,
Polizei,,
SS and police leader,,
Höhere SS- und Polizeiführer,,
HSSPF,,
SD,,
Scholtenhuis,,
Reichssicherheitshauptamt,,
Reich Main Security Office,,
Ordnungspolizei,,
Arrestaties,arrestaties,Arrestaties
Arrests,,
Verhaftungen,,
Tokeitai,,
FBI,,
Haagse Politie Inlichtingendienst,,
Haagse Politie Inlichtingendienst',,
Kempeitai,,
Homoseksuelen,,
Homosexuals,,
Homosexuelle,,
Bureau Bijzondere Rechtspleging',,
Bureau Bijzondere Rechtspleging,,
Bijzondere Rechtspleging,,
Bijzondere Rechtspleging',,
Special Justice,,
Schuilkelders,,
Underground shelter,,
Luftschutzkeller,,
Bombardementen,bombardementen,Bombardementen
Bombardement,bombardement,Bombardement
Bombing,,
Ontslag van Joodse ambtenaren,,
Dismissal of Jewish civil servants,,
Entlassung Jüdische Beamte,,
Anti-Jewish measures,,
Antijüdische Gesetze,,
Anti-joodse maatregelen,,
Wasserflugzeug,,
Seaplanes,,
Vliegboten,,
Airplanes,,
Vliegtuigen,,
Flugzeuge,,
Schiffe,,
Schepen,,
Ships,,
Marine,,
Navy,,
Christmas,,
Weihnachten,,
Kerstmis,,
Festtage,,
Holidays,,
Feestdagen,,
Sibbekunde',,
Sibbekunde,,
Nationalsozialismus,,
National Socialism,,
Nationaalsocialisme,,
Genealogy,,
Genealogie,,
Afstammingsonderzoek,,
Ancestral research,,
Abstammungsuntersuchung,,
Rekrutierung,,
Recruitment,,
Werving,,
International Tracing Service',,
International Tracing Service,,
Vermisten,,
Missing,,
Vermisste,,
Archive,,
Archieven,,
Archives,,
Armament,,
Bewapening,bewapening,Bewapening
Bewaffnung,,
Oorlogsslachtoffers,oorlogsslachtoffers,Oorlogsslachtoffers
War victims,,
Kriegsopfer,,
Graben,,
Graves,,
Graven,graven,
Zelfmoorden,,Zelfmoorden
Suicides,,Suicides
Suizid,,
Widows,,
Weduwen,,
Witwen,,
Informatiebureau van het Nederlandse Rode Kruis,,
Informatiebureau van het Nederlandse Rode Kruis',,
Leichen,,
Lijken,lijken,Lijken
Corpses,,
Namenlijsten,,Namenlijsten
List of names,,
Mitgliederlisten,,
War victims,,
Kriegsopfer,,
Oorlogsgetroffenen,oorlogsgetroffenen,Oorlogsgetroffenen
Overledenen,overledenen,Overledenen
Deceased,,
Toter,,
Kriegsversehrte,,
War disabled,,
Oorlogsinvaliden,,Oorlogsinvaliden
Burgerslachtoffers,burgerschlachtoffers,Burgerslachtoffers
Civilian casualties,,
Zivilisten Opfer,,
Drowning,,
Drenkelingen,,
Troostmeisjes,,
Comfort women,,
Trostfrauen,,
Verwundet,,
Wounded,,
Gewonden,gewonden,Gewonden
Kindersoldaten,kindersoldaten,
Child soldiers,,
Kindsoldaten,kindsoldaten,Kindsoldaten
Ostforschung,,
Westforschung,,
Western studies,,
Ahnenerbe,,
Ahnenerbe',,
Archäologie,,
Archeologie,,
Archaeology,,
Volksche Werkgemeenschap,,
Volksche Werkgemeenschap',,
Ethnology,,
Volkskunde,,
Meldepflicht,,
Obligatory draft,,
Aanmeldingsplicht,,
Local history,,
Lokale geschiedenis,,
Lokale Geschichte,,
Häuser,,
Huizen,,
Houses,,
Verkenningen,,
Reconaissance,,
Aufklärer,,
Patrouilles,patrouilles,Patrouilles
Patrouillen,,
Patrols,,
Fédération Internationale des Résistants,,
Slowaken,,
Totenliste,,
Death lists,,
Dodenlijsten,dodenlijsten,Dodenlijsten
National Socialist People's Welfare,,
Nationalsozialistische Volkswohlfahrt,,
Derde Rijk,,
Third Reich,,
Drittes Reich,,
Predigten,,
Sermons,,
Preken,,
Quartier,,
Inkwartiering,,
Quarter,,
Intervention,,
Interventions,,
Interventies,,
Peacekeeping,,
Friedensmission,,
Vredesoperaties,,Vredesoperaties
Straflager,,
Penal camps,,
Strafkampen,strafkampen,Strafkampen
Strafkamp Souburg,,
Bewapeningsindustrie,,
Armament industry,,
Rüstungsindustrie,,
Oorlogsverklaringen,,Oorlogsverklaringen
Kriegserklärungen,,
Declaration of war,,
Poster,,
Posters,,
Affiches,,
Flugblätter,,
Pamphlets,,
Pamfletten,,
Bauernhöfe,,
Boerderijen,,
Farms,,
Ackerbau,,
Agriculture,,
Landbouw,,
Metals,,
Metalen,,
Metallen,,
Vertrek,,
Abfahrt,,
Departure,,
Carriage,,
Transport,,
Notgeld,,
Noodgeld,,
Emergency money,,
Money,,
Geld,,
Werkloosheid,,
Unemployment,,
Arbeitslosigkeit,,
Kriegswirtschaft,,
Oorlogseconomie,,
War economy,,
Arbeitslager für Juden,,
Jewish labour camps,,
Joodse werkkampen,,
Kamp Stuifzand,,
Camp Stuifzand,,
Lager Stuifzand,,
De Zomp,,
Werkkamp Diever A,,
Arbeitslager Diever A,,
Labour Camp Diever A,,
It Petgat,,
t Zand camp,,
Kamp 't Zand,,
Werkkamp Mantinge,,
Labour Camp Mantinge,,
Arbeitslager Mantinge,,
Lager Balderhaar,,
Kamp Balderhaar,,
Camp Balderhaar,,
Lager Arriën,,
Kamp Arriën,,
Camp Arriën,,
Camp Oranjekanaal,,
Kamp Oranjekanaal,,
Lager Oranjekanaal,,
Camp Het Overbroek,,
Lager Het Overbroek,,
Kamp Het Overbroek,,
Kamp De Fledders,,
Camp 'De Fledders',,
Kamp De Fledders',,
Twilhaar,,
Kremboong camp,,
Kamp Kremboong',,
Kamp Kremboong,,
Kamp Molengoot',,
Kamp Molengoot,,
Camp 'Molengoot',,
Kamp Beugelen,,
Kamp Beugelen',,
Camp 'Beugelen',,
Camp Kloosterhaar,,
Lager Kloosterhaar,,
Kamp Kloosterhaar,,
Camp Schaarshoek,,
Lager Schaarshoek,,
Kamp Schaarshoek,,
Camp De Witte Peal,,
Lager De Witte Peal,,
Kamp De Witte Peal,,
Kamp Geesbrug,,
Lager Geesbrug,,
Camp Geesbrug,,
Kamp Avegoor,,
Camp 'Avegoor',,
Lager Avegoor,,
Camp 'De Beetse',,
Kamp De Beetse,,
Kamp De Beetse',,
Kamp De Vecht,,
Camp De Vecht,,
Lager De Vecht,,
Camp De Bruine Enk,,
Kamp De Bruine Enk,,
Lager De Bruine Enk,,
Kamp Ybenheer (Kamp Oranje),,
Kamp Ybenheer (Kamp Oranje)',,
Camp 'Ybenheer' (Camp 'Oranje'),,
Kamp Vledder,,
Camp Vledder,,
Lager Vledder,,
Lager Schut,,
Kamp Schut,,
Camp Schut,,
Kamp Gijsselte,,
Camp Gijsselte,,
Lager Gijsselte,,
Camp Orvelte,,
Lager Orvelte,,
Kamp Orvelte,,
Arbeitslager Diever B,,
Labour Camp Diever B,,
Werkkamp Diever B,,
Werkkamp Echten,,
Arbeitslager Echten,,
Labour camp Echten,,
Lager De Landweer,,
Kamp De Landweer,,
Camp De Landweer,,
Camp Het Wijde Gat,,
Kamp Het Wijde Gat,,
Lager Het Wijde Gat,,
Arbeitslager De Vanenburg,,
Werkkamp De Vanenburg,,
Labour camp De Vanenburg,,
Kamp Bruinhorst,,
Lager Bruinhorst,,
Camp Bruinhorst,,
Werkkamp Linde,,
Arbeitslager Linde,,
Labour camp Linde,,
Kamp De Wittebrink',,
Kamp De Wittebrink,,
Camp 'De Wittebrink',,
Kamp Lievelde,,
Camp Lievelde,,
Lager Lievelde,,
Muslims,,
Moslims,,
Muslime,,
Islam,,
Hogescholen,,
Universities,,
Hochschule,,
Laboratorien,,
Labs,,
Laboratoria,,
Universität,,
Universiteiten,,
University,,
Legerleiding,,
Army command,,
Heeresleitung,,
Paraden,,
Parades,,
Indonesische strijdkrachten,,
Indonesische Armee,,
Indonesian forces,,
Surinaamse strijdkrachten,,
Surinam forces,,
Surinamische Armee,,
SAS,,
Army,,
Landmacht,landmacht,Landmacht
Slowakische Armee,,
Slowaakse strijdkrachten,,
Slovak forces,,
Ausrüstung,,
Uitrusting,uitrusting,
Gear,,
Britse strijdkrachten,,
Britische Armee,,
British forces,,
Vrijwillig Vrouwen Hulpcorps',,
Vrijwillig Vrouwen Hulpcorps,,
Griekse strijdkrachten,,
Greek forces,,
Griechische Armee,,
Waffen-SS,,
Südafrikanische Armee,,
South African forces,,
Zuid-Afrikaanse strijdkrachten,,
OstIndische Armee,,
East Indian forces,,
Indische strijdkrachten,,
Paramilitary,,
Paramilitär,,
Paramilitairen,,Paramilitairen
Russische strijdkrachten,,
Russian forces,,
Russische Armee,,
Finnische Armee,,
Finse strijdkrachten,,
Finnish forces,,
Kozakken,,
Kosaken,,
Cossacks,,
Libyan forces,,
Libische strijdkrachten,,
Libyer Armee,,
Kriegsdienstverweigerung,,
Insubordination,,
Dienstweigering,,
Fremdenlegion,,
Vreemdelingenlegioen,,
Foreign Legion,,
Hoofdkwartier,,
Hauptquartier,,
Headquarters,,
Fahne,,
Banners,,
Vaandels,,
Albanian forces,,
Albanese strijdkrachten,,
Albanische Armee,,
Birmese strijdkrachten,,
Türkische Armee,,
Turkish forces,,
Turkse strijdkrachten,,
Roemeense strijdkrachten,,
Rumänische Armee,,
Romanian forces,,
Filippijnse strijdkrachten,,
Philippine forces,,
Philippinische Armee,,
Portugese strijdkrachten,,
Portugiesische Armee,,
Portuguese forces,,
Armee,,
Army,,
Leger,leger,Leger
Italian forces,,
Italiaanse strijdkrachten,,
Italienische Armee,,
Luchtmacht,luchtmacht,Luchtmacht
Luftwaffe,,
Air Force,,
Franse strijdkrachten,,
Französische Armee,,
French forces,,
Belgium forces,,
Belgier Armee,,
Belgische strijdkrachten,,
Brits-Indische strijdkrachten,,
British Indian forces,,
Britischer-Indisch Armee,,
Kwomintang,,
ELAS,,
Hungarian forces,,
Hongaarse strijdkrachten,,
Ungarische Armee,,
Desertie,,Desertie
Desertion,,
Desertition,,
Legion Condor,,
Legioen Condor,,
Condor Legion,,
Schwedische Armee,,
Swedish forces,,
Zweedse strijdkrachten,,
Tsjechische strijdkrachten,,
Czech forces,,
Tschechische Armee,,
Australische strijdkrachten,,
Australian forces,,
Australier Armee,,
Egyptische strijdkrachten,,
Egyptian forces,,
Ägyptische Armee,,
Bundeswehr,,
Duitse strijdkrachten,,
German forces,,
Jewish Brigade,,
Alliierte,,
Allies,,
Geallieerden,,
Heiho,,
Handelsschiffahrt,,
Koopvaardij,,
Merchant navy,,
Marva,,
Eedsaflegging,,
Swearing-in,,
Eid Aussage,,
Binnenlandse Strijdkrachten',,
Binnenlandse Strijdkrachten,,
Royal Netherlands Motorized Infantry Brigade,,
Prinses Irene Brigade,,
Prinses Irene Brigade',,
Militärbasis,,
Military bases,,
Legerbases,,
Auszeichnungen,,
Onderscheidingen,,
Decorations,,
Japanese forces,,
Japanse strijdkrachten,,
Japanische Armee,,
New Zealand forces,,
Neuseeland Armee,,
Nieuw Zeelandse strijdkrachten,,
Deense strijdkrachten,,
Dänische Armee,,
Danish forces,,
Braziliaanse strijdkrachten,,
Brazilian forces,,
Brasilianische Armee,,
Gewetensbezwaren,,
Conscientious objection,,
Gewissensbedenken,,
Kroatische strijdkrachten,,
Croatian forces,,
Kroatische Armee,,
Niederländische Armee,,
Dutch forces,,
Nederlandse strijdkrachten,,
Military mail,,
Veldpost,,
Feldpost,,
Inspektion,,
Inspectie,,
Inspection,,
Chinesische Armee,,
Chinese strijdkrachten,,
Chinese forces,,
Bulgaarse strijdkrachten,,
Bulgarische Armee,,
Bulgarian forces,,
Mongolische Armee,,
Mongolian forces,,
Mongoolse strijdkrachten,,
Heimatfront,,
Home front,,
Thuisfront,,
Afweerdienst,,
Afweerdienst',,
Peta,,
Noorse strijdkrachten,,
Norwegian forces,,
Norwegische Armee,,
Asmogendheden,,
Axis powers,,
Achsenmächte,,
Sikhs,,
Jugoslawische Armee,,
Yugoslavian forces,,
Joegoslavische strijdkrachten,,
Masculiniteit,,
Masculinity,,
Männlichkeit,,
Ethisch,,
Moreel,,
Ethos,,
Spaanse strijdkrachten,,
Spanische Armee,,
Spanish forces,,
Lettische Armee,,
Latvian forces,,
Letse strijdkrachten,,
Ukrai͏̈n'ska Povstans'ka Armija,,
American forces,,
Amerikaanse strijdkrachten,,
Amerikanische Armee,,
Swiss forces,,
Schweizer Armee,,
Zwitserse strijdkrachten,,
Canadese strijdkrachten,,
Canadian forces,,
Kanadische Armee,,
Einsatzgruppen,,
Bergjagers,,
Gebirgs-Division,,
Mountain Division,,
Freiwillige,,
Vrijwilligers,,
Volunteers,,
Litauische Armee,,
Lithuanian forces,,
Litouwse strijdkrachten,,
Österreichische Armee,,
Oostenrijkse strijdkrachten,,
Austrian forces,,
Tunesische strijdkrachten,,
Tunisian forces,,
Tunesische Armee,,
Abyssinian forces,,
Abessijnse strijdkrachten,,
Abessiniere Armee,,
Internationale Brigaden,,
Internationale brigades,,
International Brigades,,
Indian forces,,
Indische Armee,,
Indiase strijdkrachten,,
Dienstplicht,,
Conscription,,
Dienstpflicht,,
Thaise strijdkrachten,,
Thai forces,,
Thai Armee,,
Geisellager,,
Hostagecamps,,
Gijzelaarskampen,gijzelaarskampen,Gijzelaarskampen
Action Française,,
Angriffspläne,,
Plan of attack,,
Aanvalsplannen,,Aanvalsplannen
Militaire operaties,,Militaire operaties
Military operations,,
Operation,,
Waisen,,
Orpans,,
Weeskinderen,,
Bikes,,
Fahrrad,,
Rijwielen,,
Vervoermiddelen,,
Transportmittel,,
Mode of transport,,
BBC,,
Radio,,
Kindertransporten',,
Kindertransport,kindertransport,Kindertransport
Kindertransporten,kindertransporten,Kindertransporten
Herzogenbusch concentration camp,,
Konzentrationslager Herzogenbusch,,
Kamp Vught,,
"Transport van Kamp Vught naar Westerbork, 6 juni 1943- 7 juni 1943",,
Transports,,
Transporten,,Transporten
Transporte,,
"Transport van Kamp Vught naar Westerbork, 7 juni 1943- 8 juni 1943",,
Arbeitslager,,
Labor camps (subcamps),,
Werkkampen (Buitenkampen),werkkampen,Werkkampen (Buitenkampen)
Royal Dutch Shell,,
Shell,,
Repatriierung,,
Repatriation,,
Repatriëring,,Repatriëring
Repatriates,,
Gerepatrieerden,,Gerepatrieerden
Repatrianten,,
Family reunification,,
Familienzusammenführung,,
Gezinshereniging,,Gezinshereniging
Wiederkehr,,
Return,,
Terugkeer,,Terugkeer
Psychiatric patients,,
Psychiatrische Patienten,,
Psychiatrische patiënten,,
Health care,,
Gesundheitswesen,,
Gezondheidszorg,,
Zwitserse weg,,
Zwitserse weg',,
Flugrouten,,
Vluchtroutes,vluchtroutes,Vluchtroutes
Escape route,,
Mijnenvegers,,
Minesweepers,,
Minenabwehrfahrzeug,,
Oorlogsschepen,,Oorlogsschepen
Warships,,
Kriegsschiffe,,
Tjihapit,,
Frauenlager,,
Vrouwenkampen,vrouwenkampen,Vrouwenkampen
Women's camps,,
Boys camps,,
Jongenskampen,jongenskampen,Jongenskampen
Jungenlager,,
Empfangslager,,
Opvangkampen,opvangkampen,Opvangkampen
Repatriation camps,,
Ausspruch,,
Vonnissen,,
Sentences,,
Todesstrafe,,
Doodvonnissen,doodvonnissen,Doodvonnissen
Death sentences,,
Heemkunde,,
Local history,,
Ortsgeschichte,,
Geschichte,,
History,,
Geschiedwetenschap,,
Regional history,,
Regionale geschiedenis,,
Regionalgeschichte,,
Nationale Bond Landbouw en Maatschappij,,
Nationale Bond Landbouw en Maatschappij',,
Agrarisch Front,,
Agrarisch Front',,
Agricultural organisations,,
Boerenorganisaties,,
Bauernorganisationen,,
Judenrat,,
Joodse Raden,,
Vereeniging van Joden in België,,
Joodsche Raad voor Amsterdam',,
Joodsche Raad voor Amsterdam,,
Defensie,,
Defensive,,
Defense,,
Commonwealth,,
Commonwealth of Nations,,
Gemenebest,,
Revolutions,,
Revoluties,,Revoluties
Revolutionen,,
Indonesischer Unabhängigkeitskrieg,,
Indonesian War of Independence,,
Indonesische onafhankelijkheidsstrijd,,Indonesische onafhankelijkheidsstrijd
Russische Revolutie,,
Russian Revolution,,
Russische Revolution,,
Vlamingen,,
Intellectuelen,,
Intellectuals,,
Intellektueller,,
Intelligenzija,,
Intelligentsia,,
Elite,,
Elites,,
Generalkommissariat für das Sicherheitswesen,,
SS,,
Adoption,,
Adoptie,,
Mobilisatie,mobilisatie,Mobilisatie
Mobilisierung,,
Mobilization,,
Demobilisatie,,Demobilisatie
Demobilization,,
Demobilisierung,,
Fälschungen,,
Forgeries,,
Vervalsingen,,
Nederlandsche Tandartsenkamer,,
Dentists,,
Tandartsen,,
Zahnärzte,,
Nederlandsche Artsenkamer,,
Dutch Chamber of Doctors,,
Nederlandsche Artsenkamer',,
Kapo,,Kapo
Kapo's,,Kapo's
Marriage,,
Huwelijk,,
Heirat,,
Ehescheidungen,,
Divorces,,
Echtscheidingen,,
Gemischte verheiratete,,
Gemengd gehuwden,,
Mixed marriages,,
Tanz,,
Dance,,
Dans,,
Schleppschiffahrt,,
Sleepvaart,,
Towing service,,
Erz,,
Minerals,,
Delfstoffen,,
Bergbau,,
Mijnbouw,,
Mining industry,,
SA,,
National Socialist German Workers' Party,,
NSDAP,,
Röhm-Putsch,,
Nacht van de Lange Messen,,
Night of the Long Knives,,
Öffentlicher Verkehr,,
Public transport,,
Openbaar vervoer,,
Straßenbahne,,
Trams,,
Treinen,,
Züge,,
Trains,,
Student resistance,,
Studentenverzet,,Studentenverzet
Student Widerstand,,
Nederlandse Studenten Federatie',,
Nederlandse Studenten Federatie,,
Raad van Negen',,
Raad van Negen,,
Gas generators,,
Gasgeneratoren,,
Generators,,
Generatoren,,
Stichting 1940-1945,,
Stichting 1940-1945',,
Anti-Deutsche Haltung,,
Anti-Duitse houding,,
Anti-German attitude,,
Anjerdag',,
Anjerdag,,
Deserters,,
Deserteurs,,Deserteurs
Deserteure,,
Dutchbat,,
UNRRA,,
Verenigde Naties,,
Vereinte Nationen,,
United Nations,,
Aid agencies,,
Hulporganisaties,,
Hilfsorganisationen,,
Labour inspection,,
Arbeidsinspectie,,
Gewerbeaufsicht,,
Offensives,,
Offensiven,,
Offensieven,offensieven,Offensieven
Koninklijke Luchtmacht,,Koninklijke Luchtmacht
Royal Netherlands Air Force,,
Flughafen,,
Airports,,
Vliegvelden,,
USAAF,,
Luftwaffe,,
